Year,CITATION,SampleNo,UNIQUE_ID,SiO2,Al2O3,Fe2O3.T.,MgO,Na2O,CaO,K2O,TiO2,MnO,LOCATION,ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,Type,ROCK TEXTURE,SAMPLE COMMENT
1990, [4449] BACON C. R. (1990),samp. 1029,,57.7,17.2,6.699873683,4.66,4.31,7.17,1.44,0.9,0.1,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,
1990, [4449] BACON C. R. (1990),samp. 1010,,57.6,18.9,6.734327462,4.07,4.25,7.2,0.79,0.7,0.11,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,
1994, [3645] NAKADA S. (1994),samp. 1399,,57.4,17.9,7.15,2.89,4.15,5.47,1.56,1.01,0.12,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 81C-582,,56.51130226,19.10382076,7.669327679,3.25065013,4.420884177,7.221444289,0.790158032,1.100220044,0.120024005,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,LOW-SR SCORIA
1990, [4449] BACON C. R. (1990),samp. 957,,56.2,17.9,7.419978697,4,4.4,7.26,1.6,1.12,0.11,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1994, [3645] NAKADA S. (1994),samp. 1400,,56,16.7,6.85,3.17,3.91,7.03,1.44,0.92,0.11,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
1986, [4448] BACON C. R. (1986),samp. 871,23310-871,56,19.4,7.377751808,3.97,3.95,7.92,0.82,0.84,0.11,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,RING-VENT PHASE PYROCLASTIC FLOW
1986, [4448] BACON C. R. (1986),samp. 1150,,56,18.5,7.173277026,4.06,4.02,8.47,0.97,0.94,0.11,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,CORE OF LARGE INCLUSION
1994, [3645] NAKADA S. (1994),samp. 733,,55.8,18.2,6.4,3.86,3.94,7.07,1.16,0.82,0.09,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
1994, [3645] NAKADA S. (1994),samp. 1398,,55.6,18.1,8.57,3.32,4.06,7.38,1.03,1.19,0.13,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
2003, [6578] REAGAN M. K.(2003)  [GeoReM [736] ],samp. 88C-1534,,55.5,18.6,7.24,3.37,4.25,7.79,1.03,1.03,0.08,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,
1994, [3645] NAKADA S. (1994),samp. 691,,55.3,17.8,8.09,3.73,3.78,7.26,1.04,1.04,0.13,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
1994, [3645] NAKADA S. (1994),samp. 1404,,55.1,19,7.58,3.3,3.68,5.87,1.26,0.95,0.15,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,ENCLAVE IN RHYODACITE
2003, [6578] REAGAN M. K.(2003)  [GeoReM [736] ],samp. 88C-1532,,55.1,19,8.06,3.87,3.98,7.89,0.71,1.01,0.12,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,ANDESITE,,
1986, [4448] BACON C. R. (1986),samp. 860,15526-860,54.8,18.9,8.442352606,4.52,3.94,8.14,0.62,0.82,0.13,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,RING-VENT PHASE PYROCLASTIC FLOW
1990, [4449] BACON C. R. (1990),samp. 753,15420-753,54.2,18.3,8.23453749,4.29,3.82,7.55,2.12,1.3,0.11,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC, SHOSHONITIC",,
1986, [4448] BACON C. R. (1986),samp. 938,,54,15.7,7.82892826,9.52,3.32,7.81,1.09,0.97,0.1,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,INCLUSION IN LLAO ROCK FLOW
1990, [4449] BACON C. R. (1990),samp. 1087,,54,18.3,8.216764379,6.04,3.77,8.33,0.65,0.96,0.13,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
