"SiO2","Al2O3","Fe2O3","MgO","Na2O","CaO","K2O"
47.52,18.05,9.65,9.39,2.41,11.8,0.12
62.34,17.18,4.82,3.49,4.04,5.98,1.24
63.16,16.07,4.44,3.69,4.56,6.07,1.14
63.07,16.29,4.42,3.6,4.58,6,1.16
63.93,16.55,4.06,3.22,4.27,6.06,1.11
64.28,16.82,3.83,3.32,4.04,5.99,1
50.41,13.1,16.36,2.91,3.43,6.96,2.19
50.09,14,16.25,2.79,3.38,6.92,2.15
57.13,17.26,6.86,3.79,4.33,6.14,2.83
48.03,13.57,16.86,3.54,3.05,7.88,1.84
48.96,13.4,16.87,3.34,3.61,6.92,2.03
58.67,16.67,6.78,3.58,4.37,6.13,2.32
48.25,13.99,17.31,3.42,3.37,6.7,1.94
49.43,13.77,16.67,3.24,3.46,6.54,2.04
49.65,14.06,16.37,3.12,3.57,6.46,2.09
61.96,17,6.02,1.79,5.67,4.39,1.61
49.26,13.5,15.9,3.61,3.25,7.51,2.03
50.94,13.36,15.54,3.1,3.49,6.94,2.34
51.26,13.34,15.29,3.06,3.56,6.84,2.4
49.11,14.16,16.92,3.44,3.17,6.92,1.98
49.82,14.37,16.25,3.06,3.46,6.33,2.19
50.03,13.37,16.3,3.14,3.3,7.06,2.08
50.46,13.99,16.1,2.87,3.63,6.34,2.08
51.44,13.09,16.04,2.71,3.22,6.82,2.23
50.75,14.08,15.95,2.87,3.54,6.31,2.16
50.9,13.91,15.93,2.86,3.76,6.26,2.31
51.17,13.32,16.08,2.69,3.4,6.7,2.3
50.67,14.13,15.88,2.77,3.46,6.67,2.22
51.15,13.67,15.94,2.63,3.51,6.64,2.27
54.61,13.87,14.71,1.82,3.79,5.26,2.88
55.04,14.25,14.39,1.8,4.13,4.79,3.06
54.77,14.24,14.44,1.7,4.32,4.85,2.98
60.85,14.16,11.38,0.53,4.06,3.61,3.97
62.83,14.72,9.44,0.37,3.88,3.08,4.61
63.55,14.29,9.12,0.37,4.06,2.97,4.65
63.07,14.53,9.33,0.27,4.21,2.95,4.65
62.32,14.07,11.59,0.25,3.73,2.45,4.71
45.24,13.82,15.93,5.82,2.87,9.62,1.26
44.56,14.54,16.11,6.5,2.92,9.06,1.13
44.81,13.95,15.91,6.08,2.85,9.85,1.14
52.47,17.93,9.48,5.65,3.88,8.06,0.82
48.23,13.48,16.62,3.5,4.17,7.05,1.98
48.65,13.12,16.55,3.55,3.2,7.77,1.94
58.11,17.61,6.22,4.38,3.53,7.55,1.5
56.27,18.12,6.98,4.36,3.86,7.87,1.17
58.33,17.64,6.39,3.81,4.11,6.9,1.49
47.86,13.6,16.9,3.98,3.37,7,1.88
54.65,18.65,7.63,4.27,4,8.33,1.12
58.87,17.59,5.98,4.11,3.47,7.33,1.54
47.81,13.89,16.93,3.78,3.54,6.84,1.94
59.38,18.02,5.78,3.61,3.77,6.92,1.38
48.69,12.93,16.69,3.38,3.46,7.57,2.01
56.62,19.38,6.89,3.46,3.25,7.75,1.44
63.5,16.48,5.13,2.67,4.24,4.77,2.25
48.71,14.36,16.8,3.27,3.56,6.44,2.18
59.63,16.86,5.6,4.58,3.56,7.08,1.59
48.57,13.64,16.63,3.49,3.59,7.12,1.98
59.28,17.58,6.31,3.35,4.17,6.48,1.55
48.25,16.92,11.82,7.08,3.23,10.2,0.53
50.43,13.79,16.08,2.83,4.21,6.25,2.32
50.43,16.81,12.37,4.92,3.41,8.64,1.03
63.61,16.48,5.16,2.55,4.15,4.75,2.32
50.74,15.6,13.19,5.11,3.34,8.67,0.98
66.6,12.19,9.09,0.88,3.17,4.24,2.71
53.63,13.86,14.88,2.11,3.91,5.6,2.74
64.19,13.99,8.39,1.23,3.17,5.35,2.35
60.38,17.36,5.82,3.58,3.74,6.32,1.77
48.34,17.08,11.16,7.2,3.36,10.33,0.56
51.46,15.38,10.29,7.36,2.93,8.9,1.44
48.48,12.79,16.8,3.53,3.36,7.69,1.99
48.01,17.14,11.93,7.16,3.3,10.03,0.52
47.34,18.12,11.5,6.98,3.27,10.39,0.53
62.93,12.74,9.19,0.87,3.19,6.97,1.12
59.9,18.33,5.97,2.51,4.02,6.72,1.35
55.65,12.31,14.32,3.16,3.21,7.26,1.52
48.16,13.5,16.66,3.52,4.19,7.02,1.98
48.35,16.99,11.58,7.13,3.29,10.18,0.54
57.94,18.94,6.39,2.69,3.8,7.67,1.46
50.56,15.92,13.02,4.98,3.36,8.76,1.09
54.14,14.16,14.78,1.94,3.61,5.25,2.91
48.11,15.64,11.92,7.88,2.83,9.94,0.96
53.1,13.95,15.36,2.19,3.62,5.53,2.74
49.78,15.24,11.84,6.99,2.93,9.22,1.21
61.94,17.27,5.99,1.86,5.5,4.26,1.63
50.32,15.33,10.99,7.17,2.93,9.42,1.35
48.94,15.37,12,7.79,2.84,9.48,0.93
61.56,17.26,6.14,1.89,5.47,4.4,1.62
50.79,15.15,11.39,6.79,2.96,8.84,1.31
54.89,14.54,13.89,1.92,4.08,4.91,3.01
51.18,15.44,10.35,7.57,2.93,9.02,1.36
59.41,17.64,6.95,2.46,5.38,5.24,1.32
51.65,15.59,9.73,7.53,2.92,9.11,1.47
49.26,15.38,11.95,7.6,2.86,9.29,0.96
50.27,16,13.46,5.01,3.36,8.57,0.97
57.34,14.51,12.87,1.29,4.08,4.3,3.42
57.8,17.82,6.29,4.65,3.39,7.4,1.53
51.23,15.92,12.57,4.95,3.41,8.7,0.96
50.41,15.75,13.59,5.05,3.43,8.5,0.89
57.77,14.57,12.57,1.19,4.14,4.2,3.47
51.42,15.74,11.51,5.15,3.47,9.35,1.04
59.37,18.01,5.93,3.5,3.79,6.86,1.38
50.06,16.87,9.74,6.6,3.03,10.65,1.09
49.67,17.28,9.68,6.74,3.17,10.42,1.07
57.33,15.14,12.44,1.45,3.98,4.13,3.41
50.12,17.78,9.77,5.36,3.13,10.78,1.16
58.55,18.08,6.05,3.97,3.72,7.2,1.3
48.96,16.96,10.88,7.09,3.1,9.94,0.85
48.4,17.74,9.97,8.16,2.85,10.45,0.61
47.69,16.99,10.94,7.01,3.06,10.96,0.93
58.65,18.08,6,3.99,3.71,7.15,1.3
43.58,13.9,17.92,5.02,3.31,8.03,1.54
49.09,18.19,9.72,6.94,3.07,10.32,0.99
48.62,16.98,9.27,7.83,2.95,11.51,0.95
47.66,16.68,10.32,8.32,2.76,11.71,0.66
43.91,13.77,17.59,5.15,3.31,8.18,1.46
58.83,18.16,5.99,3.8,3.74,7.07,1.3
50.02,18.23,8.59,6.66,3.36,10.23,1.04
49.96,17.13,9.46,7.01,3.06,10.5,1.04
43.82,13.61,17.43,5.51,3.32,8.23,1.48
49.52,16.12,12.58,6.21,3.21,9.03,1.09
44.76,12.77,17.44,4.86,3.1,9.38,1.56
51.31,15.13,13.17,4.86,3.44,8.69,1.07
58.72,18.4,6.02,3.62,3.89,6.9,1.3
49.06,16.62,11.7,7.19,2.99,9.38,0.89
49.32,16.17,12.07,5.88,3.26,9.6,1.08
58.59,18.36,6.11,3.67,3.88,6.95,1.3
49.72,14.44,16.31,2.83,3.87,6.38,2.27
48.76,16.14,11.93,7.48,3.06,9.44,0.91
44.02,12.79,17.62,4.83,3,9.46,1.54
43.93,13.65,17.54,4.64,3,9.34,1.57
58.89,18.55,5.82,3.5,3.93,6.89,1.29
59.45,17.77,6.04,3.37,4.03,6.58,1.53
54.31,14.47,14.01,1.96,3.61,5.55,2.79
61.49,16.97,5.55,3.22,4.13,5.55,2
56.87,13.76,13.42,1.55,3.9,4.83,2.96
61.68,17,5.47,3.14,4.07,5.49,2.06
57.64,13.97,13,1.3,3.69,4.63,3.1
59,18.08,5.98,3.72,3.81,6.94,1.36
50.26,14.08,15.78,2.93,4.26,6.25,2.37
63.45,16.5,5.22,2.55,4.25,4.62,2.38
50.55,14.32,15.57,2.91,4.24,6.08,2.41
59.66,17.88,5.98,3.17,4.07,6.44,1.57
49.22,14.21,16.12,3.07,4.26,6.46,2.29
59.42,17.99,6.03,3.31,4.01,6.48,1.54
59.32,17.86,6.08,3.44,3.98,6.62,1.5
49.57,14.19,16.22,3.15,3.75,6.31,2.17
59.39,17.93,6.71,2.35,5.4,5.37,1.3
51.22,13.89,15.6,2.62,3.67,6.44,2.49
59.51,17.76,6.86,2.37,5.42,5.19,1.33
