"age_ma","omega_weathering","psi_provenance","sample_id","strat_name"
430.42,-0.0294423854807366,-0.0286265377378598,3082,"Road River Group"
430.4,0.153113917634216,0.012209917109349,3083,"Road River Group"
430.36,0.0682611020156143,-0.0348394842169212,3084,"Road River Group"
430.33,0.347966314272901,0.0887738814469517,3085,"Road River Group"
430.31,0.137528334204928,0.11394993777918,3086,"Road River Group"
430.28,0.127734777199892,0.111192023017428,3087,"Road River Group"
430.25,0.469560776512937,0.120668635903602,3088,"Road River Group"
430.22,0.0283666622227416,0.101498139952719,3089,"Road River Group"
430.19,0.104939368758513,0.0995682633780264,3090,"Road River Group"
430.17,-0.14704330296055,-0.108483911783026,3091,"Road River Group"
429.9,-0.355845961226983,0.260124670701249,3092,"Road River Group"
429.69,-0.0633960495030978,0.363869535609388,3096,"Road River Group"
