Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,Lat,Long,State,Georef ,Navdat Sample Number ,Authors,,,,,,,,,
FG72-76,58.47,17.19,6.75,4.88,2.75,7.32,1.42,39.045017,-122.66783,CALIFORNIA,2007-064006,130363,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
CL500,59.35,14.81,7.36,4.74,3.33,6.75,2.12,38.97164,-122.65488,CALIFORNIA,2007-064006,130364,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H75.40,64.57,14.16,5.49,3.41,3.41,5.02,2.81,38.97263,-122.64375,CALIFORNIA,2007-064006,130365,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H72.52,76.61,12.95,1.11,0.45,3.61,0.67,4.52,38.968674,-122.64839,CALIFORNIA,2007-064006,130366,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
s_3,55.01,16.77,5.93,7.32,3.45,9.36,0.83,40.487,-121.505,CALIFORNIA,1968-057233,1486,Smith-A-L, Carmichael-I-S-E,,,,,,,,
H74.34,57.9,16.77,8.37,2.7,4.09,5.79,1.9,38.9238,-122.80046,CALIFORNIA,2007-064006,130367,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
CL267,64.47,15.77,4.29,3.82,3.31,5.12,2.31,38.96244,-122.73203,CALIFORNIA,2007-064006,130368,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H76.17D,65.25,16.91,3.67,2.7,3.4,4.8,2.5,38.982513,-122.76279,CALIFORNIA,2007-064006,130369,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H73.18A,70.69,15.8,3.2,1.25,3.12,1.87,3.53,38.93204,-122.76049,CALIFORNIA,2007-064006,130370,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H75.21F,71.22,14.35,2.54,2.77,3.69,3.38,1.54,38.947556,-122.83342,CALIFORNIA,2007-064006,130371,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H76.46A,70.8,15.09,2.98,1.11,3.55,2.03,3.85,38.938194,-122.74892,CALIFORNIA,2007-064006,130372,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H72.53C,74.93,14.28,1.35,0.14,3.21,1.03,4.76,38.962105,-122.8281,CALIFORNIA,2007-064006,130373,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H73.13,62.37,16.35,4.74,3.53,3.63,6.06,2.52,38.893047,-122.72987,CALIFORNIA,2007-064006,130374,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
CL243,62.34,18.43,5.1,2.52,3.22,5.04,2.01,38.884132,-122.71494,CALIFORNIA,2007-064006,130375,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
H74.91,62.98,16.65,5.32,3.91,3.11,5.01,2.11,38.86742,-122.64103,CALIFORNIA,2007-064006,130376,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
B1427,68.21,15.8,3.5,2.21,3.22,3.62,2.82,38.902935,-122.77009,CALIFORNIA,2007-064006,130379,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
MH860,69.08,15.24,3.18,2.01,3.31,3.51,3.11,38.895824,-122.73914,CALIFORNIA,2007-064006,130380,"Hammersley, L; DePaolo, Donald J",,,,,,,,,
68L-216-B,48.53,16.08,13.53,5.26,3.97,7.15,1.49,35.1157,-107.427,New Mexico,1972-021255,2877,"Lipman, Peter W; Moench, Robert H",,,,,,,,,
D85-229,51.88,17.17,8.17,6.77,3.86,8.33,1.8,37.0283,-118.1763,California,1989-079451,18406,Ormerod-David-Stephen,,,,,,,,,
POT-19,45.98,15.95,11.26,9.13,3.46,10.02,1.77,31.838299,-107.10665,New Mexico,1971-001774,2230,"Renault, Jacques",,,,,,,,,
SH16,62.41,18.05,5.26,2.22,4.33,5.53,1.3,46.2,-122.18,Washington,1983-048831,8997,Halliday-A-N, Fallick-A-E, Dickin-A-P, Mackenzie-A-B, Stephens-W-E, Hildreth-W,,,,
SS-59,62.41,16.74,6.12,1.77,4.89,4.48,1.94,44.1,-121.7,Oregon,1984-000310,9338,"Clark, James Gregory",,,,,,,,,
s_80013,42.36,12.43,14.02,4.9,5.95,11.77,2.65,62.75,-137.3,YUKON TERRITORY,1990-035905,19059,Francis-Don, Ludden-John-N,,,,,,,,
69-21,47.79,12.56,17.99,3.67,3.13,7.45,1.9,43.474,-113.5776,Idaho,1977-018654,4687,"Leeman, W P; Vitaliano, C J; Prinz, M",,,,,,,,,
