Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,Lat,Long,State,Georef ,Navdat Sample Number ,Authors,,,,,,,,,
HSP-73,49.35,16.71,11.49,6.55,2.82,9.09,1.69,43.509,-115.505,Idaho,1992-031861,29309,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-82,48.57,16.78,11.59,6.53,2.98,9.12,1.87,43.509,-115.505,Idaho,1992-031861,29310,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-93,47,16.98,11.96,8.34,2.59,9.14,1.44,43.509,-115.505,Idaho,1992-031861,29311,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-43,47.77,16.7,11.82,7.65,2.71,9.76,1.33,43.509,-115.505,Idaho,1992-031861,29312,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-96,47.94,16.24,11.35,8.5,2.7,9.59,1.36,43.509,-115.505,Idaho,1992-031861,29313,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-87,49.06,17.08,11.41,6.43,2.83,9.26,1.63,43.509,-115.505,Idaho,1992-031861,29314,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-104,47.56,16.28,11.84,8.8,2.36,10.03,1.09,43.509,-115.505,Idaho,1992-031861,29315,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-24,47.98,16.72,12.05,7.02,2.93,9.04,1.66,43.509,-115.505,Idaho,1992-031861,29316,"Vetter, Scott K; Shervais, John W",,,,,,,,,
CD-4A,76.91,12.77,1.05,0.01,4.58,0.39,4.19,36.081,-117.8513,California,1992-049812,29559,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
HSP-25,48.04,16.51,11.72,7.72,2.89,9.25,1.5,43.509,-115.505,Idaho,1992-031861,29317,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-26,48.22,16.41,11.64,7.79,2.83,9.08,1.59,43.509,-115.505,Idaho,1992-031861,29318,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-38,47.93,16.28,11.17,8.2,2.84,9.79,1.44,43.509,-115.505,Idaho,1992-031861,29319,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-40,48.24,16.31,11.57,8.8,2.05,9.96,1.04,43.509,-115.505,Idaho,1992-031861,29320,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-117,48.33,17.11,11.5,6.64,2.87,9.16,1.77,43.509,-115.505,Idaho,1992-031861,29321,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-132,47.76,16.41,11.49,8.04,2.79,9.66,1.42,43.509,-115.505,Idaho,1992-031861,29322,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-129,49.45,17.14,11.77,6.92,2.2,9.13,1.11,43.509,-115.505,Idaho,1992-031861,29323,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-169,48.49,17.28,11.36,6.43,3.1,9.11,1.77,43.509,-115.505,Idaho,1992-031861,29324,"Vetter, Scott K; Shervais, John W",,,,,,,,,
CD-7,77.09,12.71,0.89,0.01,4.59,0.32,4.31,36.1025,-117.8035,California,1992-049812,29563,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
HSP-187,48.38,16.94,13.39,5.96,2.77,8.18,1.97,43.509,-115.505,Idaho,1992-031861,29325,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-186,48.05,17,12.67,6.35,3.02,8.49,2.01,43.509,-115.505,Idaho,1992-031861,29326,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-11,46.18,15.79,14.82,7.18,3,9.14,1.09,43.509,-115.505,Idaho,1992-031861,29327,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-12,47.38,16.12,12.77,6.78,2.84,9.66,1.36,43.509,-115.505,Idaho,1992-031861,29328,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-59,48.25,16.84,11.69,6.25,2.93,9.57,1.67,43.509,-115.505,Idaho,1992-031861,29329,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-52,47.51,16.66,12.77,7.29,2.64,9.37,1.34,43.509,-115.505,Idaho,1992-031861,29330,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-67,48.26,17.31,11.68,6.51,2.75,9.56,1.51,43.509,-115.505,Idaho,1992-031861,29331,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-64,48.63,16.51,11.62,6.52,2.87,9.51,1.67,43.509,-115.505,Idaho,1992-031861,29332,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-61,48.34,16.77,11.6,6.82,2.89,9.28,1.77,43.509,-115.505,Idaho,1992-031861,29333,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-66,47.38,17.02,11.92,6.67,2.82,9.91,1.61,43.509,-115.505,Idaho,1992-031861,29334,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-63,48.98,17.63,10.91,5.6,2.95,9.42,1.86,43.509,-115.505,Idaho,1992-031861,29335,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-69,49.02,16.8,11.48,6.46,2.8,9.45,1.58,43.509,-115.505,Idaho,1992-031861,29336,"Vetter, Scott K; Shervais, John W",,,,,,,,,
SSP-26,48.02,16.94,11.75,6.68,2.99,9.42,1.59,43.509,-115.505,Idaho,1992-031861,29337,"Vetter, Scott K; Shervais, John W",,,,,,,,,
SSP-21,48.44,17.07,11.39,6.6,2.87,9.62,1.52,43.509,-115.505,Idaho,1992-031861,29338,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-72,49.12,16.97,11.5,7.21,2.09,9.76,1.15,43.509,-115.505,Idaho,1992-031861,29339,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-113,47.2,15.97,14.45,7.12,2.7,8.81,1,43.521,-115.416,Idaho,1992-031861,29340,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-110,48.75,17.1,11.53,6.69,2.92,8.67,2.05,43.521,-115.416,Idaho,1992-031861,29341,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-111,47.42,15.97,14.11,7.14,2.86,8.9,1,43.521,-115.416,Idaho,1992-031861,29342,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-109,48.42,17.3,11.85,6.35,2.98,8.42,2.39,43.521,-115.416,Idaho,1992-031861,29343,"Vetter, Scott K; Shervais, John W",,,,,,,,,
HSP-112,46.49,15.56,15.02,6.88,2.82,9.27,1.12,43.521,-115.416,Idaho,1992-031861,29344,"Vetter, Scott K; Shervais, John W",,,,,,,,,
MM88-10,76.86,12.48,0.95,0.05,3.87,0.59,5,38.4867,-112.8094,Utah,1992-035401,29345,Coleman-Drew-S, Walker-J-Douglas,,,,,,,,
TBQob-1,46.45,14.44,12.31,9.86,3.15,9.94,0.97,37.62,-119.0917,California,1997-021098,36929,"Cousens, Brian L",,,,,,,,,
TBQob-2,47.02,14.86,11.58,10.19,3.02,9.72,0.87,37.6192,-119.0917,California,1997-021098,36930,"Cousens, Brian L",,,,,,,,,
HLQpb,49.12,14.74,8.87,10.08,2.61,10.6,1.84,37.6125,-119.02,California,1997-021098,36931,"Cousens, Brian L",,,,,,,,,
TFQpb,49.05,15.12,8.65,9.93,2.8,10.52,1.8,37.6117,-119.0083,California,1997-021098,36932,"Cousens, Brian L",,,,,,,,,
PBQa,57.13,16.81,8.39,2.88,4.49,5.74,2.39,37.57,-119.05,California,1997-021098,36933,"Cousens, Brian L",,,,,,,,,
PBQa-2,56.83,16.75,8.75,2.92,4.37,5.88,2.36,37.5633,-119.0583,California,1997-021098,36934,"Cousens, Brian L",,,,,,,,,
PBQa-3,56.64,16.67,8.99,3.01,4.31,5.95,2.28,37.56,-119.0617,California,1997-021098,36935,"Cousens, Brian L",,,,,,,,,
RMQa,57.59,17.34,7.37,2.61,4.9,5.27,2.64,37.6083,-119.0717,California,1997-021098,36936,"Cousens, Brian L",,,,,,,,,
MMQpb,50.85,18.11,8.81,5.75,3.71,8.96,1.57,37.6583,-119.0317,California,1997-021098,36937,"Cousens, Brian L",,,,,,,,,
DCQgb-1,55.14,17.87,7.86,4.06,4.14,7.05,2.06,37.6983,-118.9567,California,1997-021098,36938,"Cousens, Brian L",,,,,,,,,
0YC-613,52.03,15.39,10.72,7.01,2.68,9.45,0.89,44.8667,-110.7408,Wyoming,2002-003952,61838,"Christiansen, Robert L",,,,,,,,,
102,52.47,16.09,10.48,5.18,3.94,7.34,1.73,20.526,-104.48,Jalisco,1992-043710,29395,Righter-Kevin, Carmichael-Ian-S-E,,,,,,,,
DPQpb,53.92,18.11,8.32,3.48,4.09,7.42,2.2,37.6383,-119.0783,California,1997-021098,36939,"Cousens, Brian L",,,,,,,,,
JLQa,53.34,18.13,8.56,4.12,3.76,8.41,1.65,37.8267,-119.0683,California,1997-021098,36940,"Cousens, Brian L",,,,,,,,,
BSQpb,50.78,17.93,9.48,5.31,3.78,8.68,1.65,37.75,-118.9417,California,1997-021098,36941,"Cousens, Brian L",,,,,,,,,
LMQa-1,51.72,16.78,10.68,4.18,4.28,7.41,1.92,37.72,-118.9583,California,1997-021098,36942,"Cousens, Brian L",,,,,,,,,
LMQa-3,51.35,16.54,11.15,4.27,4.19,7.42,1.91,37.753,-118.9567,California,1997-021098,36943,"Cousens, Brian L",,,,,,,,,
127-484,46.88,14.63,14.96,7.23,2.48,9.62,0.63,43.52,-112.96,Idaho,2007-900002,56935,Chadwick-Claire-Grimm,,,,,,,,,
HCQpb,49.31,17.88,9.52,7.06,3.41,9.79,1.01,37.735,-118.8733,California,1997-021098,36944,"Cousens, Brian L",,,,,,,,,
MLQab,51.48,17.13,10.29,4.72,4.08,7.85,1.8,37.6383,-118.9383,California,1997-021098,36945,"Cousens, Brian L",,,,,,,,,
LVQpb,50.83,17.98,9.12,5.49,3.81,8.75,1.64,37.745,-118.8683,California,1997-021098,36946,"Cousens, Brian L",,,,,,,,,
DCQab,53.21,16.65,9.48,3.89,4.33,7.32,2.33,37.7467,-118.9817,California,1997-021098,36947,"Cousens, Brian L",,,,,,,,,
0YC-607,49.99,15.37,11.6,7.47,2.55,10.51,0.47,44.9031,-110.713,Wyoming,2002-003952,61836,"Christiansen, Robert L",,,,,,,,,
RCQyb-1,48.52,19.45,9.38,7.97,2.96,9.47,0.64,37.5917,-119.0583,California,1997-021098,36949,"Cousens, Brian L",,,,,,,,,
RCQyb-2,50.4,17.14,9.5,7.86,3.12,9.53,0.78,37.5883,-119.0617,California,1997-021098,36950,"Cousens, Brian L",,,,,,,,,
BPQyb,50.56,18.37,9.38,6.25,3.8,8.51,1.23,38.0333,-119.1,California,1997-021098,36951,"Cousens, Brian L",,,,,,,,,
LV-167,52.86,15.95,10.51,5.03,3.85,7.26,1.77,20.52,-104.484,Jalisco,1992-043710,29420,Righter-Kevin, Carmichael-Ian-S-E,,,,,,,,
MAS326,54.15,16.83,7.67,5.78,3.6,8.6,1.33,20.914,-104.49,Nayarit,1992-043710,29422,Righter-Kevin, Carmichael-Ian-S-E,,,,,,,,
0YC-597B,47.94,16.17,13.08,7.26,2.71,10.08,0.5,45.0419,-110.6487,Montana,2002-003952,61833,"Christiansen, Robert L",,,,,,,,,
0YC-597C,48.52,15.98,12.79,7.32,2.66,10.02,0.5,45.0419,-110.6487,Montana,2002-003952,61834,"Christiansen, Robert L",,,,,,,,,
127-445,47.23,15.84,11.7,9.94,2.15,11.12,0.24,43.52,-112.96,Idaho,2007-900002,56932,Chadwick-Claire-Grimm,,,,,,,,,
142,75.38,13.37,1.36,0.19,3.98,0.85,4.58,41.5225,-121.7067,California,1992-049812,29541,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
143,73.95,14.01,1.81,0.26,4.06,1.21,4.34,41.5765,-121.6767,California,1992-049812,29542,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
RGM-1,73.88,13.82,1.89,0.29,4.2,1.19,4.37,41.62,-121.4833,California,1992-049812,29544,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
148,76.94,12.67,1.17,0.02,3.95,0.52,4.6,37.9077,-119.0355,California,1992-049812,29550,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
147,76.96,12.58,1.18,0.02,3.98,0.52,4.62,37.9313,-119.0412,California,1992-049812,29551,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
MC73-1A,73.33,14.3,1.76,0.09,4.3,0.74,5.29,37.7667,-119.0167,California,1992-049812,29552,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
9,76.34,13.42,0.38,0.05,4.59,0.53,4.47,37.0563,-118.2978,California,1992-049812,29556,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-5,77.21,12.51,1.05,0.01,4.56,0.35,4.18,36.0788,-117.8573,California,1992-049812,29560,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-17,76.92,12.69,1,0.02,4.35,0.39,4.54,36.0512,-117.8188,California,1992-049812,29561,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-22,77.24,12.44,1.08,0.02,4.57,0.35,4.2,36.0315,-117.841,California,1992-049812,29562,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-23,76.82,12.63,1.02,0.02,4.34,0.44,4.61,36.022,-117.8243,California,1992-049812,29565,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-30,76.85,12.63,1.04,0.02,4.34,0.42,4.6,35.996,-117.8083,California,1992-049812,29566,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-33,76.9,12.48,1.1,0.02,4.35,0.41,4.62,35.9898,-117.8157,California,1992-049812,29567,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-8,77.51,12.14,1.02,0.02,4.47,0.31,4.44,36.0923,-117.7882,California,1992-049812,29568,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-18,77.24,12.48,0.9,0.03,4.43,0.42,4.41,36.0502,-117.8158,California,1992-049812,29571,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-19,77.3,12.54,0.86,0.02,4.24,0.41,4.55,36.0462,-117.806,California,1992-049812,29572,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
CD-21A,77.19,12.56,0.88,0.02,4.49,0.37,4.41,36.0248,-117.8175,California,1992-049812,29573,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
49,74.33,12.9,2.55,0.16,4.78,0.86,4.13,33.169,-115.6372,California,1992-049812,29574,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
50,74.43,12.99,2.48,0.13,4.73,0.81,4.16,33.1982,-115.6102,California,1992-049812,29575,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
212,75.67,12.38,2.15,0.03,4.79,0.48,4.29,33.2252,-115.6075,California,1992-049812,29576,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,71.65,14.69,2.87,0.44,4.54,1.5,4.08,41.6167,-121.5,California,1992-049812,29586,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,74.33,13.37,1.87,0.38,3.87,1.45,4.51,41.6167,-121.5,California,1992-049812,29587,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,72.9,13.87,3.07,0.14,4.05,1.8,3.92,41.6167,-121.5,California,1992-049812,29588,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.06,13.88,3.04,0.16,3.95,1.8,3.85,41.6167,-121.5,California,1992-049812,29589,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,72.97,13.74,3.13,0.54,3.8,1.79,3.78,41.6167,-121.5,California,1992-049812,29590,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.55,13.77,2.04,0.33,4.19,1.39,4.32,41.6167,-121.5,California,1992-049812,29591,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.35,13.65,2.84,0.54,3.77,1.69,3.97,41.6167,-121.5,California,1992-049812,29592,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,72.54,14.29,3.07,0.36,3.86,1.55,4.08,41.6167,-121.5,California,1992-049812,29593,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,72.64,14.07,2.38,0.49,4.25,1.6,4.08,41.6167,-121.5,California,1992-049812,29594,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.08,14.07,2.84,0.39,3.94,1.45,4,41.6167,-121.5,California,1992-049812,29595,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.68,13.41,2,0.37,4.15,1.42,4.47,41.6167,-121.5,California,1992-049812,29596,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.65,13.97,1.87,0.33,4.2,1.22,4.35,41.6167,-121.5,California,1992-049812,29597,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.67,13.73,1.98,0.21,4.26,1.39,4.33,41.5675,-121.685,California,1992-049812,29598,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.48,13.72,1.87,0.41,4.21,1.57,4.3,41.5675,-121.685,California,1992-049812,29599,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.52,13.73,1.99,0.37,4.21,1.38,4.27,41.5675,-121.685,California,1992-049812,29600,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.57,13.66,2.04,0.4,4.17,1.4,4.27,41.5675,-121.685,California,1992-049812,29601,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.83,13.77,1.85,0.3,4.23,1.24,4.41,41.5675,-121.685,California,1992-049812,29602,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.47,14.01,2.01,0.36,4.03,1.38,4.33,41.5675,-121.685,California,1992-049812,29603,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,73.46,14.03,1.75,0.17,4.34,0.77,5.24,37.7699,-118.7237,California,1992-049812,29607,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
M.11,50.66,13.16,7.91,8.95,2.56,7.62,5.63,20.55,-104.77,Jalisco,1997-031850,37069,Carmichael-I-S-E, Lange-R-A, Luhr-J-F,,,,,,,
No Sample Name,71.71,14.69,2.16,0.27,4.6,1.07,5.11,37.7699,-118.7237,California,1992-049812,29608,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,76.63,12.63,1.13,0.03,4.11,0.6,4.76,37.8642,-119.0067,California,1992-049812,29609,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,76.68,12.7,1.15,0.01,4.08,0.56,4.69,37.8642,-119.0067,California,1992-049812,29610,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,76.64,12.63,1.14,0.02,4.11,0.6,4.73,37.8642,-119.0067,California,1992-049812,29611,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,76.65,12.65,1.12,0.03,4.07,0.61,4.75,37.8642,-119.0067,California,1992-049812,29612,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
127-395,47.57,16.15,11.1,9.76,2.22,11.55,0.19,43.52,-112.96,Idaho,2007-900002,56929,Chadwick-Claire-Grimm,,,,,,,,,
No Sample Name,77.31,12.62,0.81,0.03,3.97,0.44,4.7,37.7699,-118.7237,California,1992-049812,29613,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
No Sample Name,77.45,12.59,0.81,0.03,3.77,0.45,4.78,37.7765,-118.7326,California,1992-049812,29614,"Macdonald, Ray; Smith, Robert L; Thomas, John E",,,,,,,,,
M.39,49.59,12.14,8.24,8.36,2.75,8.76,5.96,20.687,-104.762,Jalisco,1997-031850,37080,Carmichael-I-S-E, Lange-R-A, Luhr-J-F,,,,,,,
M.534,48.83,12.04,8.87,16.69,2.42,7.36,1.93,20.62,-104.83,Jalisco,1997-031850,37086,Carmichael-I-S-E, Lange-R-A, Luhr-J-F,,,,,,,
M.3A,50.72,13.09,7.82,8.78,2.75,7.57,5.8,20.555,-104.76,Jalisco,1997-031850,37092,Carmichael-I-S-E, Lange-R-A, Luhr-J-F,,,,,,,
M.18,49.62,14.31,8.05,5.71,4.03,9.36,5.5,20.525,-104.69,Jalisco,1997-031850,37094,Carmichael-I-S-E, Lange-R-A, Luhr-J-F,,,,,,,
92NDC1,49.85,15.87,12.45,7.18,3.17,8.79,0.6,37.25,-113.6,Utah,1997-034159,37105,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92NDC2,49.71,15.82,12.48,7.21,3.17,8.88,0.65,37.25,-113.6,Utah,1997-034159,37106,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92ND6,48.96,15.57,12.68,8.24,3.41,8.53,0.57,37.15,-113.6,Utah,1997-034159,37107,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92ND7,48.21,15.79,12.99,8.35,3.19,8.87,0.53,37.15,-113.6,Utah,1997-034159,37108,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92N1,49.21,15.53,12.73,7.92,3.33,8.76,0.52,37.15,-113.6,Utah,1997-034159,37109,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92N2,49.2,15.25,12.58,8.26,3.06,8.76,0.88,37.15,-113.6,Utah,1997-034159,37110,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92N3,48.88,15.46,12.93,8.13,3.31,8.71,0.56,37.15,-113.6,Utah,1997-034159,37111,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92N4,49.12,15.3,12.87,8.2,3.26,8.71,0.55,37.15,-113.6,Utah,1997-034159,37112,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
NSG9238,49.23,15.22,13.03,8.25,3.2,8.58,0.57,37.15,-113.6,Utah,1997-034159,37113,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92VT1,55.12,16.97,8.11,4.47,3.99,6.8,2.34,37.25,-113.75,Utah,1997-034159,37114,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92VT12,54.56,17.02,8.08,4.3,3.91,7.58,2.31,37.25,-113.75,Utah,1997-034159,37115,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92VT14,51.66,16.98,9.61,5.53,3.97,7.74,1.76,37.25,-113.75,Utah,1997-034159,37116,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92VT20,53.91,17.31,8.96,4.51,3.81,7.36,1.75,37.25,-113.75,Utah,1997-034159,37117,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92VT21,54.99,17.34,8.08,4.65,4.08,6.75,1.89,37.25,-113.75,Utah,1997-034159,37118,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92VT22,53.86,17.6,8.78,4.38,3.89,7.43,1.69,37.25,-113.75,Utah,1997-034159,37119,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92VT23,54.8,17.39,8.22,4.48,4.05,6.95,1.82,37.25,-113.75,Utah,1997-034159,37120,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
92VT24,53.78,17.44,8.77,4.48,3.88,7.63,1.69,37.25,-113.75,Utah,1997-034159,37121,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
NSG42,54.98,17.26,8.3,4.49,3.68,7,2.11,37.25,-113.75,Utah,1997-034159,37122,Nusbaum-Robert-L, Unruh-Daniel-M, Millings-V-E III,,,,,,,
SW-2,45.3,15.85,14.63,7.38,2.48,10.02,0.62,43.0208,-113.1702,Idaho,1992-053607,29759,"Foster, Paul W",,,,,,,,,
SW-1,45.27,15.8,14.57,7.41,2.53,10.14,0.68,43.0208,-113.1702,Idaho,1992-053607,29758,"Foster, Paul W",,,,,,,,,
SE-1,46.17,15.73,14.78,6.44,2.33,10,0.85,42.9898,-113.0559,Idaho,1992-053607,29760,"Foster, Paul W",,,,,,,,,
N-4,46.05,15.63,14.21,8.16,2.28,9.8,0.65,43.0739,-113.1311,Idaho,1992-053607,29761,"Foster, Paul W",,,,,,,,,
S-4,48.25,15.15,15.33,5.46,1.75,9.22,0.69,43.0135,-113.1402,Idaho,1992-053607,29762,"Foster, Paul W",,,,,,,,,
Eastern Butte-2,46.11,14.98,13.75,7.97,2.36,11.17,0.62,43.0382,-113.1358,Idaho,1992-053607,29763,"Foster, Paul W",,,,,,,,,
Wildhorse Corral,46.66,15.22,13.31,8.8,2.14,10.19,0.75,43.0135,-113.2018,Idaho,1992-053607,29764,"Foster, Paul W",,,,,,,,,
Eastern Corral-2,47.21,15.57,13.08,7.75,2.43,10.04,0.81,43.0382,-113.1358,Idaho,1992-053607,29765,"Foster, Paul W",,,,,,,,,
Eastern Corral-3,48.32,15.8,12.35,7.54,2.28,9.9,0.75,43.0382,-113.1358,Idaho,1992-053607,29766,"Foster, Paul W",,,,,,,,,
MB-6,43.82,16.44,15.5,7.27,2.38,9.73,0.61,43.0382,-113.1358,Idaho,1992-053607,29767,"Foster, Paul W",,,,,,,,,
MB-11,45.29,14.94,16.83,5.51,2.47,8.86,0.71,43.0382,-113.1358,Idaho,1992-053607,29768,"Foster, Paul W",,,,,,,,,
MB-12,44.98,15.33,15.66,6.68,2.41,9.96,0.54,43.0382,-113.1358,Idaho,1992-053607,29769,"Foster, Paul W",,,,,,,,,
MB-19,45.45,16.12,15.21,6.43,2.53,9.31,0.58,43.0382,-113.1358,Idaho,1992-053607,29770,"Foster, Paul W",,,,,,,,,
MB-21,45.22,16.71,14.67,6.46,2.6,9.99,0.59,43.0382,-113.1358,Idaho,1992-053607,29771,"Foster, Paul W",,,,,,,,,
MB-27,45.45,16.47,14.53,6.51,2.59,10.39,0.51,43.0382,-113.1358,Idaho,1992-053607,29772,"Foster, Paul W",,,,,,,,,
MB-30,44.7,16.49,14.66,6.88,2.65,9.66,0.59,43.0382,-113.1358,Idaho,1992-053607,29773,"Foster, Paul W",,,,,,,,,
MB-34,44.81,16.22,15.05,6.54,2.45,10.11,0.61,43.0382,-113.1358,Idaho,1992-053607,29774,"Foster, Paul W",,,,,,,,,
MB-40,45.56,15.57,15.39,6.46,2.5,9.4,0.7,43.0382,-113.1358,Idaho,1992-053607,29775,"Foster, Paul W",,,,,,,,,
MB-44,45.37,16.21,14.92,6.46,2.5,9.77,0.57,43.0382,-113.1358,Idaho,1992-053607,29776,"Foster, Paul W",,,,,,,,,
MB-50,45.41,16.75,14.3,6.51,2.56,9.72,0.51,43.0382,-113.1358,Idaho,1992-053607,29777,"Foster, Paul W",,,,,,,,,
MB-54,44.33,16.16,15.65,6.73,2.55,9.71,0.61,43.0382,-113.1358,Idaho,1992-053607,29778,"Foster, Paul W",,,,,,,,,
