Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
P61,55.61,24.07,7.23,1.92,0.45,0.08,5.64,1.17,0.06,0.1,4.03,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po32,62.37,17.59,5.65,2.49,0.07,0.19,5.6,0.69,0.07,0.13,3.94,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po54,55.1,19.77,11.28,1.78,0.09,0.07,5.6,0.83,0.24,0.04,6.75,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po37,61.23,16.56,5.16,3.17,0.06,1.65,5.54,0.62,0.13,0.16,5.05,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po107,59.2,22.6,5.92,0,0.19,0.04,5.48,1.04,0.01,0.05,4.53,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po36,64.67,15.58,5.59,3.17,0.1,0.67,5.33,0.55,0.12,0.11,3.36,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po56,60.59,18.53,6.96,2.05,0.55,0.06,5.14,0.93,0.09,0.03,3.91,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po88,58.31,20.88,5.94,3.42,0.13,0.11,5.06,0.79,0.11,0.1,4.31,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po83,59.51,20.83,6.01,2.67,0.12,0.04,4.99,0.79,0.09,0.11,4.9,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po85,58.81,20.95,6.12,3.75,0.62,0.02,4.95,0.75,0.04,0.08,4.46,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po84,58.74,21.03,6.21,3.49,0.07,0.02,4.87,0.72,0.04,0.07,4.4,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po89,60.71,20.41,5.94,1.39,0.14,0.04,4.81,0.79,0.02,0.1,5.25,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po92,58.26,20.92,6.48,3.24,0.14,0.02,4.81,0.75,0.04,0.08,4.44,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po91,59.57,20.77,6.42,2.45,0.21,0.04,4.77,0.75,0.03,0.13,4.74,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po90,59.06,20.51,6.68,3.06,0.11,0.01,4.6,0.79,0.03,0.09,4.3,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po60,66.5,14.9,8.22,0.84,0.65,0.06,4.43,0.64,0.2,0.03,4.71,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po86,58,20.23,7.14,4.21,0.21,0.03,4.4,0.74,0.09,0.09,4.59,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po53,58.24,17.01,12.11,1.94,0.34,0.07,4.32,0.71,0.32,0.03,3.81,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po87,57.74,20.18,7.43,3.67,0.19,0.04,4.24,0.74,0.1,0.11,5.03,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P62,66.44,18.31,5.87,1.59,0.58,0.01,4.19,1,0.05,0.04,2.73,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po93,57.57,20.1,7.9,4.54,0.13,0.02,4.15,0.73,0.05,0.08,4.57,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po57,59.32,17.01,9.42,3.22,0.57,0.06,3.84,0.77,0.12,0.03,6.41,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po61,54.18,17.57,16.04,2.46,0.36,0.09,3.7,0.75,0.32,0.04,5.22,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po33,68.98,12.74,6.48,3.08,0.11,0.37,3.48,0.45,0.11,0.12,3.33,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po34,67.14,12.02,6.22,2.38,0.04,2.53,3.28,0.44,0.15,0.12,3.32,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po62,57.35,16.4,13.31,3.39,0.32,0.05,3.26,0.76,0.31,0.02,4.34,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P41,59.18,14.99,12.92,3.28,0.27,0.02,3.08,0.6,0.07,0.02,5.65,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
MW170,60.58,22.49,5.36,1.81,1.84,0.13,2.54,0.79,0.05,0.04,4.07,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P47,79.36,9.75,3.71,1.71,0.14,0.02,2.07,0.62,0.03,0.02,2.82,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P49,62.89,17.32,9.31,1.31,0.36,0.06,1.93,0.71,0.06,0.06,5.85,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P10,82.56,8.09,2.46,1.1,0.15,0.01,1.74,0.55,0.03,0,1.3,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P8,61.4,13.58,13.12,2.48,0.35,0.01,1.63,0.61,0.07,0.05,3.67,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
MW100,57.7,22.12,8.25,0.7,1.09,0.24,1.36,1.28,0.03,0.12,6.46,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
MW253,56.18,23.35,11.72,1.38,0.33,0.15,1.34,1.2,0.19,0.19,3.27,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P51,52.2,14.37,21.76,2.8,0.35,0.13,0.68,0.53,0.05,0.05,7.51,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
MW147,54.54,11.43,21.89,1.51,0.45,0.04,0.56,0.51,0.05,0.04,6.86,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po67,51.8,12.18,26.71,3.03,0.07,0.16,0.05,0.53,0.31,0.16,4.39,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
MED2,75.75,10.9,5.2,3.82,0.17,0.03,4.82,0.36,0.01,0.04,2.76,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE21,58.5,24.48,6.54,1.02,0.5,0.05,4.32,0.92,0.3,0.06,3.51,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
7306,54.09,22.99,6.39,4.83,0.33,0.09,4.11,0.95,0.03,0.07,5.89,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
SJ31,58.35,20.08,5.83,4.75,2.02,0.89,3.61,0.57,0.03,0.12,3.79,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
