Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
SDC-1 shale,45.4,13.1,5.64,5.53,1.06,11.45,3.47,0.77,0.15,,13.76,Sangre De Criso Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,N
SDC-19 very fine to fine ss,62.4,12.9,2.83,2.55,3.23,5.39,3.12,0.64,0.094,,5.97,Sangre De Criso Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,N
M3 fine ss,69.1,10.8,2.99,1.34,2.68,4.82,2.93,0.68,0.098,,5.15,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M90 siltstone to fine ss,70.4,11,5.81,1.07,2.92,1.94,2.92,1.09,0.042,,2.05,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
SDC-23 siltstone to fine ss,55.5,10.3,5.09,2.4,0.93,10.32,2.81,0.65,0.17,,11.14,Sangre De Criso Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,N
M92A siltstone to ss,63.1,10.5,3.29,2.77,1.87,7.44,2.77,0.55,0.07,,7.93,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M1B siltstone to fine ss,60.4,12.7,4.21,1.36,3.87,7.02,2.49,0.62,0.12,,6.84,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
SDC-3 siltstone,36,8.72,5.29,5.31,0.89,20.62,2.37,0.51,0.35,,19.73,Sangre De Criso Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,N
M30B siltstone to fine ss,64.2,8.3,2.06,1,1.68,10.11,2.2,0.39,0.052,,9.9,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M30A very fine to coarse ss,67,8,1.96,0.65,1.76,9.4,2.03,0.4,0.049,,8.86,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M2B siltstone,69.5,10.2,3.37,1.37,1.83,5.24,2.03,0.69,0.068,,6.15,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M1A fine ss,61.1,12.5,3.14,0.77,4.37,8.34,2,0.63,0.1,,6.96,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M30D siltstone to fine ss,46.9,9.1,2.5,0.86,2.05,18.41,1.95,0.48,0.067,,16.7,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M2A siltstone,65.8,10.2,3.71,1.87,1.64,6.94,1.95,0.63,0.052,,7.68,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M91 siltstone,57.6,9.2,3.32,1.86,1.37,12.31,1.86,0.6,0.12,,12.29,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M50B siltstone to fine ss,70,10.7,2.54,1.15,2.75,5.3,1.86,0.26,0.076,,5.43,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
M30C siltstone to fine ss,43.6,5.9,1.83,0.92,0.92,23.47,1.68,0.38,0.077,,21,Maroon Fm,Upper Pennsylvanian - Lower Permian,Cullers 2000,297.75,Cullers 2000,,,Y,Y
Rew-7,58.12,16.11,6.07,1.87,0.5,0.55,3.35,0.7,0.08,0.2,11.86,Rewalsar Lake Sediment,Cenozoic,Das & haake 2003,3.955,Das & haake 2003,,,N,N
Rew-5,64.72,15.21,4.2,1.79,0.62,0.42,2.84,0.65,0.05,0.09,8.24,Rewalsar Lake Sediment,Cenozoic,Das & haake 2003,3.955,Das & haake 2003,,,N,N
Rew-3,61.14,15.04,4.55,1.57,0.53,0.55,2.65,0.56,0.05,0.12,11.33,Rewalsar Lake Sediment,Cenozoic,Das & haake 2003,3.955,Das & haake 2003,,,N,N
Rew-4,63.34,13.4,4.11,1.51,0.55,0.52,2.42,0.53,0.06,0.11,12.82,Rewalsar Lake Sediment,Cenozoic,Das & haake 2003,3.955,Das & haake 2003,,,N,N
Rew-2,55.03,13.05,3.85,1.47,0.47,1.44,2.12,0.48,0.09,0.19,20.13,Rewalsar Lake Sediment,Cenozoic,Das & haake 2003,3.955,Das & haake 2003,,,N,N
Rew-8,68.04,11.43,2.77,1.43,0.45,0.39,2.01,0.47,0.06,0.11,12.72,Rewalsar Lake Sediment,Cenozoic,Das & haake 2003,3.955,Das & haake 2003,,,N,N
Rew-6,72.16,9.44,2.58,1.29,0.54,0.26,1.78,0.45,0.04,0.1,10.97,Rewalsar Lake Sediment,Cenozoic,Das & haake 2003,3.955,Das & haake 2003,,,N,N
Rew-1,73.11,9.93,2.77,1.22,0.53,0.33,1.73,0.38,0.05,0.1,9.39,Rewalsar Lake Sediment,Cenozoic,Das & haake 2003,3.955,Das & haake 2003,,,N,N
LL06,68.6,17.24,5.83583691,1.58,0.46,0.28,5.41,0.88,0.16,0.13,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
LL09,67.63,17.14,6.680643777,1.82,0.97,0.51,4.83,0.81,0.15,0.13,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
DD04,61.84,20.6,8.41472103,2.51,1.43,0.21,4.66,0.94,0.08,0.15,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
DD05,62.47,20.31,8.125708155,2.38,1.57,0.24,4.56,0.89,0.09,0.18,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
DD03,63.72,18.78,8.581459227,2.46,1.38,0.31,4.5,0.84,0.14,0.14,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
LL02,69.8,15.61,7.258669528,1.86,0.83,0.24,4.11,0.76,0.1,0.15,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,Age range of 800Ma,,N,N
LL05,68.85,16.46,6.602832618,1.78,1.46,0.46,4.09,0.76,0.07,0.12,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
LL07,70.05,15.18,6.247124464,1.82,1.26,0.81,3.96,0.85,0.3,0.15,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
DD02,66.03,17.98,7.658841202,2.29,1.26,0.48,3.95,0.86,0.13,0.14,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
DD01,70.47,15.3,6.5027897,2,1.66,0.47,3.22,0.76,0.14,0.14,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
LL04,69.96,15.83,6.5027897,2.09,2.47,2.72,2.84,0.74,0.08,0.14,,Lengjiaxi Gp,Mesoproterozoic,Deru et al 2007,1450,Deru et al 2007,,,N,N
JAN-96-72,58.68,18.19,5.46,1.66,0.47,0.19,3.88,0.89,0.01,0.08,10.54,Slottsmoya Member,Oxfordian-Kimmeridgian,Dypvik &Sakarov 2012,157.8,Dypvik &Sakarov 2012,,,N,N
JAN-96-80,59.02,17.31,6.21,1.52,0.63,0.3,3.61,0.87,0.01,0.08,10.2,Slottsmoya Member,Oxfordian-Kimmeridgian,Dypvik &Sakarov 2012,157.8,Dypvik &Sakarov 2012,,,N,N
JAN-96-77,58.98,16.48,6.53,1.66,0.64,0.2,3.54,0.87,0.02,0.09,10.23,Slottsmoya Member,Oxfordian-Kimmeridgian,Dypvik &Sakarov 2012,157.8,Dypvik &Sakarov 2012,,,N,N
JAN-96-88,60.78,16,5.95,1.63,0.45,0.11,3.43,0.83,0.01,0.09,9.66,Slottsmoya Member,Oxfordian-Kimmeridgian,Dypvik &Sakarov 2012,157.8,Dypvik &Sakarov 2012,,,N,N
JAN-96-100,55.25,16.07,7.12,1.42,0.6,0.15,3.33,0.73,0.01,0.11,14.46,Slottsmoya Member,Oxfordian-Kimmeridgian,Dypvik &Sakarov 2012,157.8,Dypvik &Sakarov 2012,,,N,N
JAN-96-84,58.84,16.38,8.03,1.75,0.39,0.14,3.31,0.85,0.01,0.1,9.8,Slottsmoya Member,Oxfordian-Kimmeridgian,Dypvik &Sakarov 2012,157.8,Dypvik &Sakarov 2012,,,N,N
JAN-96-98,55.79,17.46,5.77,1.75,0.35,0.49,3.27,0.74,0.02,0.13,13.98,Slottsmoya Member,Oxfordian-Kimmeridgian,Dypvik &Sakarov 2012,157.8,Dypvik &Sakarov 2012,,,N,N
JAN-96-92,55.53,16.14,9.44,2.3,0.42,0.36,3.08,0.71,0.06,0.06,10.64,Slottsmoya Member,Oxfordian-Kimmeridgian,Dypvik &Sakarov 2012,157.8,Dypvik &Sakarov 2012,,,N,N
JAN-96-104,50.45,14.24,14.38,1.85,0.3,0.84,2.95,0.61,0.04,0.1,13.81,Slottsmoya Member,Oxfordian-Kimmeridgian,Dypvik &Sakarov 2012,157.8,Dypvik &Sakarov 2012,,,N,N
89,55.18,15.68,5.94,1.74,0.98,0.56,3.74,0.69,0.07,0.02,14.96,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
"90,05",54.74,15.06,7.25,1.61,0.87,1,3.66,0.71,0.03,0.54,13.82,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
"88,22",53,15.06,5.94,2.36,0.96,2.02,3.64,0.66,0.03,0.12,15.56,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
"87,58",55.16,15.05,6.25,1.84,0.94,0.56,3.64,0.73,0.05,0.21,14.59,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
79,53.65,15.4,5.13,1.82,1.06,0.44,3.59,0.68,0.02,0.17,17.64,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
"86,25",54.67,15.25,5.11,1.73,1.12,0.48,3.5,0.65,0.02,0.06,17.16,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
"87,93",57.07,15.12,4.4,1.65,0.9,0.38,3.43,0.69,0.01,0.06,15.75,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
"100,63",55.72,14.43,5.22,1.67,1.1,0.35,3.42,0.69,0.02,0.06,16.86,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
88,56.72,14.72,4.89,1.61,0.91,0.43,3.34,0.67,0.02,0.05,15.86,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
84,53.12,14.44,5.82,1.78,1.06,0.68,3.28,0.63,0.02,0,18.54,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
"89,25",51.17,14.19,8.05,1.59,0.85,1.49,3.23,0.64,0.11,0.81,17.11,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
"97,5",30.34,8.16,30.83,0.86,0.52,3.01,1.75,0.36,0.06,0.69,23.33,Krill Member,Tithonian,Dypvik &Sakarov 2012,148.55,Dypvik &Sakarov 2012,,,N,N
NV12.60,54.36,18.81,7.32,2.96,1.41,0.33,3.03,1.07,0.03,0.11,9.94,Pakska Formation,Tithonian-Berriasian,Dypvik &Sakarov 2012,145.95,Dypvik &Sakarov 2012,,,N,N
NV12.10,46.32,16.02,12.68,2.52,1.27,0.51,2.58,0.82,0.03,0.18,16.15,Pakska Formation,Tithonian-Berriasian,Dypvik &Sakarov 2012,145.95,Dypvik &Sakarov 2012,,,N,N
NV0.25,48.62,18.5,9.3,2.45,1.65,1.07,2.53,1.09,0.03,0.35,13.54,Pakska Formation,Tithonian-Berriasian,Dypvik &Sakarov 2012,145.95,Dypvik &Sakarov 2012,,,N,N
NV13.20,24.73,8.49,29.76,5.72,0.71,2.66,1.44,0.42,0.31,0.23,24.6,Pakska Formation,Tithonian-Berriasian,Dypvik &Sakarov 2012,145.95,Dypvik &Sakarov 2012,,,N,N
113077,60.99,18.12,5.37,1.35,0.33,0.3,4.24,0.96,0.03,0.19,7.5,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113082,60.94,16.93,7.01,1.29,0.41,0.42,3.9,0.88,0.03,0.2,7.88,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113087,62.15,15.71,6.86,1.23,0.45,0.31,3.71,0.88,0.04,0.18,7.51,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113098,59.75,17,6.25,1.32,0.33,0.9,3.45,0.99,0.03,0.16,9.16,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113072,72.03,13.95,2.73,1.19,0.5,0.26,3.41,0.83,0.01,0.07,4.79,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113064,68.64,14.19,4.69,1.01,0.41,0.29,3.35,0.84,0.02,0.1,5.89,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113101,59.91,18.01,5.4,0.93,0.46,0.45,3.28,1.11,0.03,0.28,10.08,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113132,62.27,13.17,1.95,0.66,0.12,0.05,3.23,0.85,0.01,0.09,17.06,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113100,62.04,16.01,5.34,0.86,0.34,0.21,3.2,1.02,0.02,0.17,10.73,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113092,65,13.87,5.39,1.12,0.47,0.63,2.86,0.86,0.03,0.16,8.59,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113131,70.8,9.5,2.09,0.48,0.12,0.13,2.78,0.68,0,0.06,13.22,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113133,75.28,9.2,1.8,0.39,0.1,0.06,2.59,0.59,0,0.05,8.85,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113130,74.25,8,2.29,0.39,0.14,0.29,2.37,0.55,0,0.07,11.3,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
113134,83.91,5.29,1.45,0.22,0.04,0.77,1.7,0.33,0.01,0.06,5.96,Dromledone Formation,Kimmeridgian-Aptian,Dypvik &Sakarov 2012,135.15,Dypvik &Sakarov 2012,,,N,N
D-5,59.61,22.39,7.01412028,1.65,2.31,1.67,4.91,0.95,0.14,0.06,,Um Zariq Fm,Neoproterozoic,El-Bialy 2013,813,El-Bialy 2013,,,N,N
D-6,61.66,21.25,6.91407736,1.68,2.03,1.49,4.54,0.95,0.15,0.03,,Um Zariq Fm,Neoproterozoic,El-Bialy 2013,813,El-Bialy 2013,,,N,N
Z-15,62.66,21.51,6.41386276,1.54,1.8,1.23,4.38,0.94,0.12,0.05,,Um Zariq Fm,Neoproterozoic,El-Bialy 2013,813,El-Bialy 2013,,,N,N
Z-4,64.52,21.59,5.8914164,1.36,1.2,0.84,4.12,0.93,0.09,0.05,,Um Zariq Fm,Neoproterozoic,El-Bialy 2013,813,El-Bialy 2013,,,N,N
D-3,61.64,20.83,6.93630912,2.07,2.56,1.48,4.02,0.97,0.1,0.09,,Um Zariq Fm,Neoproterozoic,El-Bialy 2013,813,El-Bialy 2013,,,N,N
KZ-8,62.24,22.55,6.23600868,1.81,1.59,1.04,3.86,1.16,0.09,0.05,,Um Zariq Fm,Neoproterozoic,El-Bialy 2013,813,El-Bialy 2013,,,N,N
KZ-9,62.31,21.19,6.82515032,2.15,2.08,1.23,3.66,1.08,0.09,0.07,,Um Zariq Fm,Neoproterozoic,El-Bialy 2013,813,El-Bialy 2013,,,N,N
D-9,64.24,21.15,6.3360516,1.5,1.63,1.07,3.53,1.02,0.12,0.04,,Um Zariq Fm,Neoproterozoic,El-Bialy 2013,813,El-Bialy 2013,,,N,N
KZ-3,62.59,22.42,7.3920602,0.95,1.45,1.15,3.41,1.03,0.31,0.04,,Um Zariq Fm,Neoproterozoic,El-Bialy 2013,813,El-Bialy 2013,,,N,N
M-8,51.22,17.53,19.37497884,4.33,1.68,0.75,5.5,0.9,0.52,0.13,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
K-17,66.73,16.1,6.24712456,4.3,0.25,1.17,4.55,0.95,0.11,0.22,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
M-11,73.71,14.37,6.36939924,0.59,0.29,0.17,4.49,0.48,0.08,0.08,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
K-15,67.32,14.95,6.48055804,3.58,1.06,1.78,4.32,0.89,0.07,0.2,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
K-22,75.98,14.02,1.01154508,0.25,2.71,2.03,3.77,0.28,0.04,0.02,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
K-12,76.27,13.93,0.97819744,0.25,2.62,2.01,3.72,0.25,0.04,0.03,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
K-33,70.2,15.4,4.91321896,1.53,2.7,1.7,3.1,0.75,0.06,0.14,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
M-4,78.2,12.26,2.82343352,0.85,1.58,1.25,2.99,0.25,0.05,0.02,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
K-4_,65.19,17.72,7.14751084,0.74,4.16,1.73,2.81,1.03,0.04,0.15,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
K-2_,64.15,16.38,9.12613748,0.6,5.12,1.1,2.75,1.27,0.08,0.35,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
M-20,57.29,18.11,9.0594422,3.89,3.31,5.7,2.4,0.88,0.12,0.14,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
K-11,69.29,18.32,4.53527904,1.48,2.83,1.46,1.54,0.76,0.08,0.16,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
K-6,76.66,11.81,3.75716744,1.01,2.84,2.35,1.3,0.55,0.07,0.03,,Malhaq Fm,Neoproterozoic,El-Bialy 2013,611,El-Bialy 2013,,,N,N
1776,57.72,19.44,2.03,3.02,0.11,0.14,10.68,1.1,0.01,0.08,4.33,Oaktree Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1350.9,48.89,27.34,0.95,2.21,0.21,0.18,8.87,2.57,0.01,0.07,7.46,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1800.3,58.61,19.61,1.83,3.46,0.11,0.72,8.75,0.79,0.03,0.03,5.08,Oaktree Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1411.1,50.33,27.23,0.7,2.21,0.18,0.05,8.72,2.71,0.01,0.02,7.66,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1790.3,62.03,16.74,2.68,4.05,0.09,0.1,8.26,0.76,0.01,0.04,3.84,Oaktree Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1495.8,54.68,21.84,0.6,2.13,0.19,0.11,6.96,1.17,0.01,0.04,12.43,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1429.1,62.24,19.91,0.47,1.91,0.16,0.04,6.71,0.77,0.01,0.04,7.61,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1499.85,57.59,20.82,0.49,2.14,0.19,0.44,6.68,1.07,0.01,0.04,9.36,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1551.7,64.19,18.71,1.02,1.7,0.16,0.08,6.49,0.82,0.01,0.07,5.8,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1493.5,65.84,16.48,0.4,1.64,0.15,0.1,5.5,0.63,0.01,0.04,9.09,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1811.2,48.99,16.78,9.2,6.65,0.07,2.14,5.23,0.83,0.15,0.07,8.77,Oaktree Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
665.28,77.27,12.56,0.27,0.72,0.12,0.22,3.81,0.65,0,0.16,2.94,Eccles Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1557.7,75.66,11.04,0.36,1.15,0.13,0.07,3.8,0.51,0.01,0.06,7.12,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
673.8,78.34,11.3,0.24,0.8,0.11,0.32,3.42,0.61,0.01,0.12,3.79,Eccles Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1428.4,83.09,9.43,0.39,0.89,0.09,0.02,3.2,0.2,0.01,0.02,2.6,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1673.3,85.12,4.89,0.85,1.12,0.06,0.86,2.75,0.19,0.02,0.03,2.99,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
1544.1,85.15,7.38,0.4,0.91,0.11,0.03,2.6,0.36,0.01,0.03,2.91,Monte Christo Fm,Neoarchean,Eroglu et al (2015),2540,Eroglu et al (2015),,,N,N
SS18,58.11,14.93,5.54,2.86,0.48,3.67,7.18,0.731,0.067,0.28,6.02,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS19,59.24,14.84,5.97,3.07,0.6,3.13,6.85,0.749,0.057,0.29,5.49,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS20,57.36,14.25,6.06,3.85,0.52,3.7,6.61,0.73,0.079,0.31,7.17,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS3.,63.23,17.48,3.95,1.31,0.1,0.7,6.48,0.657,0.026,0.41,4.74,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS17,56.38,16.93,6.59,4.27,0.19,1.54,6.43,0.685,0.096,0.3,5.87,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS16,57.2,17.21,7.18,4.18,1.33,1.33,5.17,0.679,0.128,0.31,5.3,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS9.,58.75,17.35,7.1,3.21,1.99,1.03,3.45,0.735,0.063,0.31,5.9,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS4.,59.36,15.96,6.66,3.67,2.25,2.4,3.27,0.716,0.072,0.31,6.2,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS10.,59.54,16.73,6.68,3.4,2.16,1.31,3.26,0.65,0.089,0.52,5.1,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS11,61.65,15.91,6.03,3.07,2.56,2.08,2.85,0.673,0.083,0.63,5.08,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS8.,60.38,16.22,6.04,3.16,2.6,2.65,2.84,0.73,0.136,0.38,5.45,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS5.,58.99,15.03,5.69,2.98,2.51,3.82,2.6,0.681,0.116,0.68,6.23,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS6.,57.3,14.95,5.75,3.45,2.32,4.4,2.58,0.648,0.135,0.67,7.78,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
SS12,59.22,15.04,6.24,2.91,2.81,3.35,2.37,0.64,0.194,0.39,5.85,Soltanieh Fm,Ediacaran/Cambrian,Etemad-Saeed & Najafi 2018,560.2,Etemad-Saeed & Najafi 2018,,,N,N
KN25,59.4,18.9,6.7,3.4,0.1,0.3,5.6,0.9,0.01,0.2,4.45,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KN3-2,66.3,16.7,4.5,2.1,1.6,0.3,5.3,0.6,0.006,0.2,2.1,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha59,57.4,21.5,6.3,2.7,1,0.3,5.3,0.8,0.03,0.2,4.39,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha111,58.6,19,8.3,2.4,0.9,0.3,5.3,0.8,0.02,0.2,4.2,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KCha108,62.1,19.8,5.4,0.8,0.7,0.8,5.2,0.8,0.08,0.3,4.05,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
KN3-8,62.7,18.3,4.7,2.9,1.3,0.4,5.2,0.8,0.009,0.3,3.32,Kahar Fm,Neoproterozoic,Etemad-Saeed et al 2015,575,Etemad-Saeed et al 2015,,,N,N
