"SiO2","Al2O3","Fe2O3","MgO","Na2O","CaO","K2O"
0.684408881042456,0.12682865240967,0.00979579238814407,0.0111688265809609,0.00438319272738396,0.126903463048579,0.0365111918028071
0.670875845093909,0.133093552172667,0.00759089911882494,0.0117388066669796,0.00540760048205894,0.133060952242199,0.0382323442233619
0.660627484451414,0.121972540705656,0.0187509979418818,0.0147141604596788,0.000525783639340078,0.121976031628187,0.0614330011738422
0.647251865755517,0.128883757406912,0.0147054820555055,0.0140363251474898,0.000530723039519353,0.128906169431411,0.0656856771636456
0.626296897064829,0.129819202549833,0.0318636309614229,0.0135588726614131,0.00107535707820616,0.129758424532477,0.0676276151518191
0.661340283801068,0.125582812335529,0.00887346086075736,0.0126417124934642,0.000790524871324313,0.125544263496601,0.0652269421412569
0.610647820447463,0.1370560402809,0.0308782065936502,0.0140212358193896,0.00068664330041928,0.137128005388825,0.0695820481693519
0.657127357454999,0.126415442133529,0.0110199195419208,0.0120995021938712,0.000831215026509573,0.126398207370925,0.0661083562782458
0.640690122857287,0.130237258273009,0.0161321321540268,0.0123607364533326,0.000550597784331001,0.130161561289046,0.069867591188967
0.613998459502989,0.131773469722863,0.0396732379592897,0.0125019069820817,0.0007057757831386,0.131718368948814,0.069628781100824
0.615485440220804,0.132993190533165,0.0344821369791757,0.0123599296838261,0.000717696694082982,0.132900220060821,0.0710613858281257
0.639275767747825,0.119946507124137,0.0520906010899526,0.0127377626148517,0.010067269062985,0.119872368238255,0.0460097241219934
0.681502602003043,0.120315642407363,0.00646209714223832,0.0133425579635477,0.0109804695784862,0.120369056665997,0.0470275742393252
0.828309611405376,0.0652209413547929,0.0071373626214534,0.00473033291655353,0.00384542803733817,0.0653273182179326,0.0254290054465534
0.977605882244293,0.00795323399395749,0.00186266966991889,0.00265891507882515,0.000135094436974441,0.00785263473888706,0.00193156983714436
0.918974007750709,0.0293690325586318,0.00358187279182169,0.00559564310743536,0.0031704206259238,0.0293314014532795,0.00997762171219883
0.916832893540928,0.029080149824774,0.00808743301286337,0.00422522378282914,0.00398437940220376,0.0289500041668728,0.00883991626952867
0.935387353881284,0.0193864161906837,0.0087725371526706,0.0098410035039673,0.00284747323716657,0.0192819444616983,0.00448327157252937
0.976244623370134,0.00881562988713637,0.00232688099773636,0.00143934497044002,0.000146260781280391,0.00880533304133258,0.00222192695194073
0.990542563535115,0.00301627423219299,0.00114113979088815,0.00123528628465227,0.000573829078591676,0.00297812183518351,0.000512785243376508
0.734631719891701,0.106603696707836,0.00549109155279002,0.0107609040871604,0.00660552568990733,0.106552442829378,0.0293546192412278
0.783106877414771,0.141014901626877,0.0215999739239041,0.00897278494977107,0.000997452297426586,0.000774953387675287,0.0435330563995753
0.769144235029151,0.148916368741698,0.0253913875985901,0.00964551763358176,0.00110905769575443,0.000553870653399025,0.0452395626478252
0.771423652299126,0.14038979792946,0.0222133263828149,0.00888436147810084,0.00100011137099058,0.0129948709253064,0.0430938796142011
0.786958990602973,0.139263378878091,0.0195779054512069,0.00884799512939262,0.000996017616030905,0.000885271514748455,0.0434704408075567
0.766865464113701,0.134463193738368,0.0416579364836005,0.00880614602133174,0.00101659510298957,0.00519389617610776,0.0419967683639014
0.793165422893274,0.107729015479892,0.043202482217028,0.00714340654909359,0.000906449781903333,0.0156490505290687,0.0322041725497409
0.785521485965186,0.128377157725636,0.0317329168030607,0.00865470867888034,0.000886937087904579,0.00887712177566018,0.0359496719636722
0.756711382008005,0.148370974756628,0.0362721620450866,0.00994396279417163,0.00101751271967428,0.00587528575381184,0.0418087199226228
0.720524354256926,0.175154317485065,0.039246832293522,0.0124046931730821,0.00101555973394198,0.00620328820199916,0.0454509548554635
0.684243652471118,0.209401560894322,0.0370126953569519,0.0146219573233202,0.00114261877981827,0.00194206443309934,0.0516354507413704
0.664329911405746,0.197200537162381,0.0712913460790306,0.0141670612484039,0.00114274991417219,0.0025129840842559,0.0493554101060104
0.739718655794737,0.150627404971079,0.0565519912573419,0.0106865128934571,0.00100244812617806,0.00233806210202812,0.0390749248551792
0.937266857311746,0.0332184073802589,0.0170323679900224,0.0017981003772899,0.000634604371075966,0.0011634708276989,0.00888619174190813
0.967323319668231,0.0160246833005053,0.010996193458984,0.000732848407238565,0.000628224240134374,0.000628639802729788,0.00366609112217686
0.966766320577112,0.0196051773151105,0.00733848877619404,0.000837923280951656,0.000628883515785077,0.000419533009655475,0.00440367352519083
0.943127729221608,0.0315254698312343,0.0137389145925984,0.00170420083349329,0.000638861111011369,0.000531991338896038,0.00873283307115907
0.932070812729018,0.0402037913013936,0.0127959946953747,0.00202643855397901,0.000639678588691204,0.000532672067520644,0.0117306120640225
0.702163843122769,0.137984806540861,0.0479098509474357,0.023334543571457,0.00631247706898906,0.0445296711182483,0.0377648076302399
0.686652418020228,0.149878985108234,0.0370745921145762,0.0342662299688401,0.0066289277009587,0.0449407600921933,0.0405580869949695
